id_aluno,idade_aluno_2020,fase_2020,turma_2020,ponto_virada_2020,pedra_2020,ian_2020,ida_2020,ieg_2020,iaa_2020,ips_2020,ipp_2020,ipv_2020,inde_2020,instituicao_ensino_aluno_2020,anos_pm_2020,inde_conceito_2020,destaque_ieg_2020,destaque_ida_2020,destaque_ipv_2020
pm-1,11,2,H,Não,Ametista,10.0,7.0,8.7,8.500020000000001,7.5,5.9375,7.75,7.883752,Escola Pública,2,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-3,12,3,H,Não,Ametista,10.0,5.5,8.9,7.91667,7.5,8.125,8.111113333333334,7.856389666666666,Escola Pública,2,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-4,10,1,D,Não,Quartzo,5.0,0.0,4.1,8.000020000000001,6.875,7.1875,7.75,5.076252,Escola Pública,2,D,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-5,10,2,M,Não,Ametista,10.0,7.5,8.0,7.50002,7.5,8.4375,8.166665,8.077085,Escola Pública,1,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-8,14,4,L,Sim,Ametista,10.0,7.333333333333333,9.9,8.33334,4.375,8.749999999999998,8.94445,8.381390666666666,Rede Decisão/União,3,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-10,13,3,B,Não,Quartzo,10.0,0.0,5.2,5.83333,3.75,7.96875,6.8333325,5.1618745,Escola Pública,1,D,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-11,8,0,A,Sim,Topázio,10.0,10.0,10.0,9.000020000000001,8.125,10.0,10.00001,9.712504000000001,Escola Pública,0,A,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-12,14,3,G,Não,Quartzo,5.0,6.666666666666667,6.0,6.25,5.625,5.624999999999999,5.277770000000001,5.838887333333334,Rede Decisão/União,3,D,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-14,11,2,M,Não,Ágata,10.0,0.0,7.6,8.000020000000001,6.875,8.4375,7.916665,6.434585,Escola Pública,2,C,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-15,12,2,D,Não,Quartzo,5.0,0.0,4.0,8.500020000000001,7.5,8.125,7.25,5.162502,Escola Pública,1,D,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
