id_aluno,idade_aluno_2020,fase_2021,turma_2021,ponto_virada_2021,pedra_2021,ian_2021,ida_2021,ieg_2021,iaa_2021,ips_2021,ipp_2021,ipv_2021,inde_2021,instituicao_ensino_aluno_2021,sinalizador_ingressante_2021,rec_equipe_1_2021,rec_equipe_2_2021,rec_equipe_3_2021,rec_equipe_4_2021,nivel_ideal_2021,defasagem_2021
pm-1,11,2.0,G,Não,Ametista,5.0,8.8,6.3,7.5,6.9,7.7,8.1,7.319,Rede Decisão,Ingressante,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-3,12,3.0,F,Não,Ametista,10.0,5.6,6.9,7.1,6.3,7.3,7.2,7.021,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-5,10,2.0,L,Não,Ametista,10.0,5.4,7.5,7.4,7.5,8.5,7.4,7.399,Escola Pública,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-8,14,5.0,L,Não,Topázio,10.0,7.1,8.6,8.8,7.5,8.0,8.5,8.269,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Nível 5 (1o EM),0.0
pm-11,8,1.0,A,Sim,Topázio,10.0,8.8,10.0,9.0,6.3,7.7,9.7,8.99,Rede Decisão,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0
pm-13,,0.0,T,Não,Quartzo,5.0,0.8,0.0,8.0,7.5,0.0,6.0,3.413,Escola Pública,Ingressante,Não avaliado,Não avaliado,Não avaliado,Não avaliado,Nível 1 (4o ano),-1.0
pm-17,13,1.0,G,Não,Ágata,5.0,2.6,4.2,9.5,7.5,8.4,8.8,6.14,Escola Pública,Veterano,Não avaliado,Mantido na Fase atual,Mantido na Fase + Bolsa,Não avaliado,Nível 3 (7o e 8o ano),-2.0
pm-18,14,4.0,F,Não,Ágata,5.0,5.3,3.3,10.0,6.3,7.7,5.2,5.666,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Nível 5 (1o EM),-1.0
pm-19,,2.0,C,Não,Ágata,5.0,4.6,6.3,9.0,7.5,7.7,8.3,6.751,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-28,13,4.0,G,Sim,Topázio,10.0,8.8,9.2,8.3,7.5,9.4,9.9,9.079,Rede Decisão,Ingressante,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Nível 4 (9o ano),0.0
pm-29,,3.0,D,Não,Ágata,5.0,3.8,5.3,9.6,7.5,7.5,7.9,6.342,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 5 (1o EM),-2.0
pm-34,12,2.0,C,Não,Ágata,5.0,5.5,2.9,6.9,7.5,7.7,8.7,6.129,Escola Pública,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-35,18,7.0,A,Sim,Topázio,5.0,8.2,9.4,9.2,7.5,8.4,9.4,8.416,Escola Pública,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Nível 8 (Universitários),-1.0
pm-36,14,3.0,C,Não,Ágata,5.0,4.7,6.4,8.3,3.8,7.3,7.9,6.246,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 5 (1o EM),-2.0
pm-37,10,2.0,N,Não,Ágata,10.0,6.5,5.4,0.0,6.9,7.5,6.7,6.154,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-38,,3.0,L,Não,Ágata,10.0,5.1,6.9,3.8,7.5,7.5,7.8,6.847,Escola Pública,Ingressante,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-40,,5.0,B,Não,Ametista,5.0,6.0,7.8,9.2,7.5,8.3,8.0,7.334,Escola Pública,Ingressante,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Nível 6 (2o EM),-1.0
pm-41,11,2.0,C,Não,Ágata,5.0,6.8,5.0,0.0,7.5,7.5,8.8,6.1,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-42,,0.0,J,Não,Ágata,10.0,4.0,6.7,10.0,7.5,7.2,6.0,6.802,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-46,8,0.0,P,Não,Topázio,10.0,6.9,10.0,8.5,7.5,8.1,8.4,8.471,Escola Pública,Veterano,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
