id_aluno,idade_aluno_2020,fase_2022,turma_2022,ponto_virada_2022,pedra_2022,ian_2022,ida_2022,ieg_2022,iaa_2022,ips_2022,ipp_2022,ipv_2022,inde_2022,cg_2022,cf_2022,ct_2022,destaque_ieg_2022,destaque_ida_2022,destaque_ipv_2022,nota_port_2022,nota_mat_2022,nota_ing_2022,rec_ava_1_2022,rec_ava_2_2022,rec_ava_3_2022,rec_ava_4_2022,indicado_bolsa_2022,nivel_ideal_2022,ano_ingresso_2022,bolsista_2022,qtd_aval_2022
pm-2,,0.0,K,Não,Ametista,5.0,8.816666666666666,7.58170509886757,10.00002,7.5,5.625,7.916665,7.675509353106849,245.0,66.0,6.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.200000000000001,9.433333333333334,,Mantido na Fase + Bolsa,Mantido na Fase atual,,,Sim,Fase 2 (5º e 6º ano),2022,Não,2.0
pm-4,10,2.0,J,Não,Ametista,5.0,5.083333333333334,8.071428571428571,10.00002,7.5,6.25,8.055553333333334,7.117065047619048,451.0,69.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,5.166666666666667,,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,,Não,Fase 3 (7º e 8º ano),2022,Não,3.0
pm-5,10,2.0,L,Não,Ametista,5.0,7.083333333333334,8.557504873294347,6.41668,7.5,6.458333333333334,7.833336666666667,7.232336307992202,415.0,61.0,12.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.666666666666667,7.5,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Fase 3 (7º e 8º ano),2019,Não,3.0
pm-6,,2.0,K,Não,Ametista,10.0,5.5,9.333333333333332,9.000020000000001,7.5,6.25,7.5,7.741668666666667,221.0,35.0,2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,3.0,8.0,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Fase 2 (5º e 6º ano),2022,Não,3.0
pm-7,,1.0,U,Não,Ametista,5.0,5.583333333333334,9.314954051796157,10.00002,7.5,5.9375,7.91667,7.406743477025898,357.0,93.0,7.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.666666666666667,6.5,,Promovido de Fase,Promovido de Fase,,,Não,Fase 2 (5º e 6º ano),2022,Não,2.0
pm-8,14,5.0,K,Não,Ametista,5.0,7.144444444444445,8.268065268065268,9.16668,5.0,7.65625,7.6250025,7.289795442501942,397.0,26.0,6.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.5,7.666666666666667,7.266666666666667,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,Não,Fase 6 (2º EM),2017,Sim,4.0
pm-9,,0.0,Z,Não,Quartzo,10.0,2.133333333333333,6.820377689942907,9.000020000000001,5.0,3.75,5.50001,5.665746204655248,767.0,184.0,9.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.466666666666667,1.8,,Mantido na Fase atual,Mantido na Fase atual,,,Não,ALFA  (2º e 3º ano),2022,Não,2.0
pm-11,8,1.0,A,Sim,Topázio,5.0,9.833333333333332,9.198412698412698,8.000020000000001,7.5,7.083333333333332,9.50001,8.464686539682539,40.0,5.0,1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.666666666666666,,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,,Não,Fase 2 (5º e 6º ano),2020,Sim,3.0
pm-16,,1.0,P,Não,Ágata,5.0,6.333333333333334,9.33862433862434,8.500020000000001,6.875,4.791666666666666,6.722219999999999,6.995504201058202,489.0,129.0,9.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.5,7.166666666666667,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Fase 2 (5º e 6º ano),2022,Não,3.0
pm-17,13,1.0,G,Não,Ágata,5.0,5.5,6.647869674185464,9.50002,7.5,5.9375,7.5,6.723325934837093,580.0,142.0,6.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.333333333333333,6.666666666666667,,Mantido na Fase atual,Promovido de Fase,,,Não,Fase 3 (7º e 8º ano),2018,Não,2.0
