idade_aluno,fase,ponto_de_virada,pedra,ian,ida,ieg,iaa,ips,ipp,ipv,inde,instituicao_ensino_aluno_2020,anos_pm_2020
11,2,0,Ametista,10.0,7.0,8.7,8.500020000000001,7.5,5.9375,7.75,7.883752,1,2
12,3,0,Ametista,10.0,5.5,8.9,7.91667,7.5,8.125,8.111113333333334,7.856389666666666,1,2
10,1,0,Quartzo,5.0,0.0,4.1,8.000020000000001,6.875,7.1875,7.75,5.076252,1,2
10,2,0,Ametista,10.0,7.5,8.0,7.50002,7.5,8.4375,8.166665,8.077085,1,1
14,4,1,Ametista,10.0,7.333333333333333,9.9,8.33334,4.375,8.749999999999998,8.94445,8.381390666666666,0,3
13,3,0,Quartzo,10.0,0.0,5.2,5.83333,3.75,7.96875,6.8333325,5.1618745,1,1
8,0,1,Topázio,10.0,10.0,10.0,9.000020000000001,8.125,10.0,10.00001,9.712504000000001,1,0
14,3,0,Quartzo,5.0,6.666666666666667,6.0,6.25,5.625,5.624999999999999,5.277770000000001,5.838887333333334,0,3
11,2,0,Ágata,10.0,0.0,7.6,8.000020000000001,6.875,8.4375,7.916665,6.434585,1,2
12,2,0,Quartzo,5.0,0.0,4.0,8.500020000000001,7.5,8.125,7.25,5.162502,1,1
13,1,0,Ametista,5.0,10.0,6.8,9.500020000000001,7.5,6.5625,7.75,7.766252,1,2
14,3,0,Ágata,5.0,6.5,7.0,9.58335,7.5,7.083333333333334,7.944446666666665,7.2055576666666665,1,3
13,3,1,Topázio,10.0,9.0,9.6,9.58335,6.875,10.0,9.944453333333334,9.354725666666667,0,2
7,0,0,Ágata,10.0,4.75,10.0,7.9166799999999995,7.5,2.5,6.916665,7.125001,1,0
13,3,0,Ágata,10.0,8.666666666666666,4.5,6.66667,7.5,7.083333333333334,6.277773333333332,7.013888333333334,1,0
12,2,0,Ametista,5.0,7.0,9.3,8.500020000000001,6.875,8.125,7.944443333333334,7.698890666666667,1,2
18,7,0,Ágata,5.0,5.0,6.1,8.75001,6.25,7.65625,8.29167,6.64396,1,3
14,3,0,Ametista,5.0,8.0,9.9,9.58335,7.5,8.749999999999998,8.222226666666668,8.307780333333334,1,1
10,2,0,Ágata,10.0,2.5,7.7,10.000020000000001,4.375,6.458333333333333,7.77778,6.6788913333333335,1,2
13,3,0,Ametista,10.0,8.333333333333334,9.4,6.24999,7.5,8.541666666666666,6.777780000000001,8.131388333333334,1,3
11,1,0,Ametista,5.0,7.25,8.3,8.000020000000001,7.5,7.5,7.75,7.460002,1,0
13,4,0,Ametista,10.0,7.0,7.5,7.5,7.5,7.96875,8.04167,7.8052090000000005,1,2
