idade_aluno,fase,ponto_de_virada,pedra,ian,ida,ieg,iaa,ips,ipp,ipv,inde,instituicao_ensino_aluno_2020,anos_pm_2020
8,0,0,Topázio,10.0,9.0,9.9,9.50002,7.5,7.5,6.583335,8.546669,1,1
11,2,0,Ágata,10.0,0.0,7.7,7.41668,7.5,8.125,7.916665,6.4275009999999995,1,0
12,1,0,Ágata,5.0,7.5,6.5,9.000020000000001,4.375,6.875,7.916665,6.908335000000001,1,2
12,3,0,Ametista,10.0,4.666666666666667,9.7,6.24999,7.5,8.4375,7.375,7.567082333333333,0,3
14,3,0,Ágata,5.0,4.666666666666667,7.8,10.00002,4.375,5.625,6.1249975,6.2183348333333335,1,2
11,2,0,Ametista,10.0,6.5,9.6,8.500020000000001,7.5,7.5,7.5,8.070001999999999,1,1
10,1,0,Ágata,5.0,8.0,4.6,7.00002,7.5,7.083333333333333,7.166663333333332,6.611668,1,2
7,0,0,Ágata,10.0,8.5,8.8,7.91668,2.5,2.5,2.75,6.301668,0,0
10,2,0,Ametista,10.0,4.5,9.7,9.000020000000001,7.5,7.291666666666667,7.61111,7.741390666666668,1,1
10,2,0,Quartzo,10.0,0.0,4.5,0.0,7.5,7.5,6.6111,4.72222,1,1
16,6,0,Quartzo,10.0,2.6666666666666665,5.1,0.0,6.875,7.34375,6.5416625,5.283540833333333,1,1
13,2,0,Ágata,5.0,3.5,8.9,7.91668,4.375,4.6875,8.583335,6.394585,1,4
16,7,1,Ametista,10.0,6.833333333333333,9.1,7.91667,7.5,8.28125,9.1250025,8.381459166666666,1,2
9,1,0,Ametista,10.0,10.0,6.7,7.50002,7.5,7.083333333333334,7.277776666666666,8.003890666666667,1,1
16,3,0,Ágata,2.5,6.333333333333333,8.8,9.16668,7.5,7.5,7.79167,7.251668666666667,1,0
13,3,1,Topázio,10.0,9.666666666666666,9.9,9.16668,6.875,7.916666666666667,8.944446666666666,9.098057333333331,1,1
17,7,1,Topázio,10.0,7.666666666666667,9.1,9.16668,7.5,8.75,9.2916725,8.753335833333333,0,1
12,2,0,Ágata,5.0,5.0,8.9,7.91668,7.5,6.666666666666667,8.11111,7.1105566666666675,0,2
12,1,0,Ágata,5.0,6.25,8.2,7.50002,5.0,2.5,7.75,6.440002,1,3
11,1,0,Ágata,5.0,4.0,8.4,9.50002,5.0,5.416666666666666,7.944443333333333,6.560557333333334,1,2
15,4,1,Ametista,5.0,7.0,9.4,7.08333,4.375,7.96875,9.3333375,7.589375500000001,0,2
15,3,1,Ametista,5.0,8.0,9.5,9.16668,8.125,8.749999999999998,9.111113333333334,8.426390666666666,0,2
